"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGEGAP","EMPLOYEE","PC","A","1975",21.582733813,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1976",20.754716981,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1977",18.390804598,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1978",19.791666667,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1979",20,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1980",18.75,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1981",18.253968254,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1982",20.819112628,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1983",19.155844156,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1984",18.674698795,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1985",19.607843137,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1986",18.848167539,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1987",18.518518519,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1988",18.79350348,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1989",18.58974359,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1990",18.181818182,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1991",16.015625,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1992",14.258555133,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1993",13.224637681,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1994",14.409722222,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1995",14.478114478,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1997",15.254237288,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1998",13.242009132,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1999",14.285714286,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2000",17.2,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2001",14.342105263,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2002",15,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2003",13.043478261,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2004",14.352941176,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2005",15.777777778,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2006",16.666666667,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2007",15.4,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2008",11.937377691,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2009",16.363636364,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2010",14.04293381,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2011",15.966386555,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2012",13.75,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2013",18,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2014",15.384615385,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2015",13,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2016",11.538461538,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2017",11.664190193,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2018",11.714285714,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2000",23.141943088,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2001",22.801817823,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2002",24.48922362,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2003",21.136921977,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2004",22.430792158,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2005",22.032085753,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2006",21.855130427,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2007",21.634276366,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2008",20.917320274,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2009",19.355965917,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2010",19.188862682,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2011",18.550554118,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2012",18.185056843,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2013",18.053211411,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2014",17.728884245,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2015",17.04325299,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2016",15.670899643,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2017",15.38215397,
"BEL","WAGEGAP","EMPLOYEE","PC","A","1999",15.182987141,
